CASA,TRASFERTA,X,Y,CRISI
Verona,Sassuolo,2,3,0
Inter,Genoa,4,0,0
Empoli,Lazio,1,3,0
Torino,Atalanta,1,2,0
Bologna,Salernitana,3,2,0
Udinese,Juventus,2,2,0
Napoli,Venezia,2,0,0
Roma,Fiorentina,3,1,0
Cagliari,Spezia,2,2,0
Sampdoria,Milan,0,1,0
Udinese,Venezia,3,0,0
Verona,Inter,1,3,0
Atalanta,Bologna,0,0,0
Lazio,Spezia,6,1,0
Fiorentina,Torino,2,1,0
Juventus,Empoli,0,1,0
Genoa,Napoli,1,2,0
Sassuolo,Sampdoria,0,0,0
Milan,Cagliari,4,1,0
Salernitana,Roma,0,4,0
Empoli,Venezia,1,2,0
Napoli,Juventus,2,1,0
Atalanta,Fiorentina,1,2,0
Sampdoria,Inter,2,2,0
Cagliari,Genoa,2,3,0
Spezia,Udinese,0,1,0
Torino,Salernitana,4,0,0
Milan,Lazio,2,0,0
Roma,Sassuolo,2,1,0
Bologna,Verona,1,0,0
Sassuolo,Torino,0,1,0
Genoa,Fiorentina,1,2,0
Inter,Bologna,6,1,0
Salernitana,Atalanta,0,1,0
Empoli,Sampdoria,0,3,0
Venezia,Spezia,1,2,0
Verona,Roma,3,2,1
Lazio,Cagliari,2,2,1
Juventus,Milan,1,1,1
Udinese,Napoli,0,4,0
Bologna,Genoa,2,2,0
Atalanta,Sassuolo,2,1,0
Fiorentina,Inter,1,3,0
Salernitana,Verona,2,2,1
Spezia,Juventus,2,3,1
Cagliari,Empoli,0,2,1
Milan,Venezia,2,0,0
Sampdoria,Napoli,0,4,0
Torino,Lazio,1,1,0
Roma,Udinese,1,0,0
Spezia,Milan,1,2,0
Inter,Atalanta,2,2,0
Genoa,Verona,3,3,0
Juventus,Sampdoria,3,2,1
Empoli,Bologna,4,2,0
Sassuolo,Salernitana,1,0,1
Udinese,Fiorentina,0,1,0
Lazio,Roma,3,2,0
Napoli,Cagliari,2,0,1
Venezia,Torino,1,1,0
Cagliari,Venezia,1,1,1
Salernitana,Genoa,1,0,1
Torino,Juventus,0,1,0
Sassuolo,Inter,1,2,0
Bologna,Lazio,3,0,1
Verona,Spezia,4,0,0
Sampdoria,Udinese,3,3,0
Fiorentina,Napoli,1,2,0
Roma,Empoli,2,0,0
Atalanta,Milan,2,3,0
Spezia,Salernitana,2,1,0
Lazio,Inter,3,1,0
Milan,Verona,3,2,0
Cagliari,Sampdoria,3,1,1
Empoli,Atalanta,1,4,0
Genoa,Sassuolo,2,2,1
Udinese,Bologna,1,1,0
Napoli,Torino,1,0,0
Juventus,Roma,1,0,0
Venezia,Fiorentina,1,0,0
Torino,Genoa,3,2,1
Sampdoria,Spezia,2,1,1
Salernitana,Empoli,2,4,1
Sassuolo,Venezia,3,1,0
Bologna,Milan,2,4,0
Atalanta,Udinese,1,1,0
Fiorentina,Cagliari,3,0,0
Verona,Lazio,4,1,0
Roma,Napoli,0,0,1
Inter,Juventus,1,1,0
Spezia,Genoa,1,1,1
Venezia,Salernitana,1,2,1
Milan,Torino,1,0,0
Juventus,Sassuolo,1,2,0
Sampdoria,Atalanta,1,3,0
Udinese,Verona,1,1,0
Cagliari,Roma,1,2,1
Empoli,Inter,0,2,0
Lazio,Fiorentina,1,0,0
Napoli,Bologna,3,0,0
Atalanta,Lazio,2,2,0
Verona,Juventus,2,1,0
Torino,Sampdoria,3,0,0
Inter,Udinese,2,0,0
Fiorentina,Spezia,3,0,0
Genoa,Venezia,0,0,1
Sassuolo,Empoli,1,2,0
Salernitana,Napoli,0,1,0
Roma,Milan,1,2,0
Bologna,Cagliari,2,0,1
Empoli,Genoa,2,2,1
Spezia,Torino,1,0,0
Juventus,Fiorentina,1,0,1
Cagliari,Atalanta,1,2,1
Venezia,Roma,3,2,0
Sampdoria,Bologna,1,2,0
Udinese,Sassuolo,3,2,0
Lazio,Salernitana,3,0,0
Napoli,Verona,1,1,0
Milan,Inter,1,1,0
Atalanta,Spezia,5,2,0
Lazio,Juventus,0,2,0
Fiorentina,Milan,4,3,0
Sassuolo,Cagliari,2,2,1
Bologna,Venezia,0,1,0
Salernitana,Sampdoria,0,2,1
Inter,Napoli,3,2,0
Genoa,Roma,0,2,1
Verona,Empoli,2,1,0
Torino,Udinese,2,1,0
Cagliari,Salernitana,1,1,1
Empoli,Fiorentina,2,1,0
Sampdoria,Verona,3,1,0
Juventus,Atalanta,0,1,0
Venezia,Inter,0,2,0
Udinese,Genoa,0,0,1
Milan,Sassuolo,1,3,0
Spezia,Bologna,0,1,0
Roma,Torino,1,0,0
Napoli,Lazio,4,0,0
Atalanta,Venezia,4,0,
Fiorentina,Sampdoria,3,1,
Verona,Cagliari,0,0,
Salernitana,Juventus,0,2,
Bologna,Roma,1,0,
Inter,Spezia,2,0,
Genoa,Milan,0,3,
Sassuolo,Napoli,2,2,
Torino,Empoli,2,2,
Lazio,Udinese,4,4,
Milan,Salernitana,2,0,
Roma,Inter,0,3,
Napoli,Atalanta,2,3,
Bologna,Fiorentina,2,3,
Spezia,Sassuolo,2,2,
Venezia,Verona,3,4,
Sampdoria,Lazio,1,3,
Juventus,Genoa,2,0,
Empoli,Udinese,3,1,
Cagliari,Torino,1,1,
Genoa,Sampdoria,1,3,
Fiorentina,Salernitana,4,0,
Venezia,Juventus,1,1,
Udinese,Milan,1,1,
Torino,Bologna,2,1,
Verona,Atalanta,1,2,
Napoli,Empoli,0,1,
Sassuolo,Lazio,2,1,
Inter,Cagliari,4,0,
Roma,Spezia,2,0,
Lazio,Genoa,3,1,
Salernitana,Inter,0,5,
Atalanta,Roma,1,4,
Bologna,Juventus,0,2,
Cagliari,Udinese,0,4,
Fiorentina,Sassuolo,2,2,
Spezia,Empoli,1,1,
Sampdoria,Venezia,1,1,
Torino,Verona,1,0,
Milan,Napoli,0,1,
Udinese,Salernitana,,,
Genoa,Atalanta,0,0,
Juventus,Cagliari,2,0,
Sassuolo,Bologna,0,3,
Venezia,Lazio,1,3,
Verona,Fiorentina,1,1,
Inter,Torino,1,0,
Roma,Sampdoria,1,1,
Empoli,Milan,2,4,
Napoli,Spezia,0,1,
Bologna,Inter,,,
Sampdoria,Cagliari,1,2,
Lazio,Empoli,3,3,
Spezia,Verona,1,2,
Atalanta,Torino,,,
Sassuolo,Genoa,1,1,
Milan,Roma,3,1,
Salernitana,Venezia,,,
Fiorentina,Udinese,,,
Juventus,Napoli,1,1,
Venezia,Milan,0,3,
Empoli,Sassuolo,1,5,
Napoli,Sampdoria,1,0,
Udinese,Atalanta,2,6,
Genoa,Spezia,0,1,
Roma,Juventus,3,4,
Verona,Salernitana,1,2,
Inter,Lazio,2,1,
Torino,Fiorentina,4,0,
Cagliari,Bologna,2,1,
Sampdoria,Torino,1,2,
Salernitana,Lazio,0,3,
Juventus,Udinese,2,0,
Sassuolo,Verona,2,4,
Venezia,Empoli,1,1,
Roma,Cagliari,1,0,
Atalanta,Inter,0,0,
Bologna,Napoli,0,2,
Milan,Spezia,1,2,
Fiorentina,Genoa,6,0,
Verona,Bologna,2,1,
Genoa,Udinese,0,0,
Inter,Venezia,2,1,
Lazio,Atalanta,0,0,
Cagliari,Fiorentina,1,1,
Napoli,Salernitana,4,1,
Spezia,Sampdoria,1,0,
Torino,Sassuolo,1,1,
Empoli,Roma,2,4,
Milan,Juventus,0,0,
Roma,Genoa,0,0,
Inter,Milan,1,2,
Fiorentina,Lazio,0,3,
Atalanta,Cagliari,1,2,
Bologna,Empoli,0,0,
Sampdoria,Sassuolo,4,0,
Venezia,Napoli,0,2,
Udinese,Torino,2,0,
Juventus,Verona,2,0,
Salernitana,Spezia,2,2,
Lazio,Bologna,3,0,
Napoli,Inter,1,1,
Torino,Venezia,1,2,
Milan,Sampdoria,1,0,
Empoli,Cagliari,1,1,
Genoa,Salernitana,1,1,
Verona,Udinese,4,0,
Sassuolo,Roma,2,2,
Atalanta,Juventus,1,1,
Spezia,Fiorentina,1,2,
Juventus,Torino,1,1,
Sampdoria,Empoli,2,0,
Roma,Verona,2,2,
Salernitana,Milan,2,2,
Fiorentina,Atalanta,1,0,
Venezia,Genoa,1,1,
Inter,Sassuolo,0,2,
Udinese,Lazio,1,1,
Cagliari,Napoli,1,1,
Bologna,Spezia,2,1,
Milan,Udinese,,,
Genoa,Inter,,,
Salernitana,Bologna,,,
Empoli,Juventus,,,
